Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category,like_counts,rating,photo_count,reasons_count,tips_count
Scarborough,43.772200000000055,-79.25665999999995,FreshCo,4d051729347da1cd6a2d2f8f,446,43.77347454842125,-79.25139167467867,Grocery Store,20,6.4,19,0,7
Scarborough,43.772200000000055,-79.25665999999995,Petro-Canada,4be897a788ed2d7f9116cc1d,488,43.769724,-79.261677,Gas Station,2,6.5,0,0,0
Scarborough,43.772200000000055,-79.25665999999995,YMCA,4ae6053bf964a52022a421e3,348,43.774798654573296,-79.25424590597602,Gym,17,6.2,1,0,5
Scarborough,43.772200000000055,-79.25665999999995,SportChek,4b686306f964a52055752be3,444,43.776112968748386,-79.25555191740501,Sporting Goods Shop,0,6.3,0,0,1
Scarborough,43.772200000000055,-79.25665999999995,AllStar Wings & Ribs,52c9e2c2498eab8cfc887990,443,43.773123789272205,-79.25129550884067,Wings Joint,27,6.3,32,0,10
East York,43.691800000000065,-79.32702999999998,East York Farmers' Market,4e3816b18877541e90eba62f,188,43.69048245471865,-79.32850947021142,Farmers Market,8,7.7,37,0,5
East York,43.691800000000065,-79.32702999999998,Last Drop Cafe,4adb7a7df964a520f02721e3,340,43.688829532311495,-79.32600210968184,Coffee Shop,8,7.2,6,0,11
East York,43.691800000000065,-79.32702999999998,Lickadee Split,4de58f9f45dda52a05f975c3,497,43.696096000000004,-79.32872089769886,Ice Cream Shop,6,7.1,5,0,6
East York,43.691800000000065,-79.32702999999998,Apple cafe,4b9e7464f964a5204ae536e3,209,43.6899745205469,-79.32639855584101,Café,3,Null,1,0,3
East York,43.691800000000065,-79.32702999999998,Cosburn Park Lawn Bowling Club,5194152d498e9111bcc92fe4,277,43.69283275447971,-79.33017253875731,Athletics & Sports,0,Null,7,0,0
East York,43.691800000000065,-79.32702999999998,Les Anthony Parkette,4d23c467f39ca1430bc46fb8,332,43.691387,-79.32294,Park,0,Null,2,0,1
East York,43.691800000000065,-79.32702999999998,Panzerotto Pizza,4c44977c74ffc928ffc575cc,360,43.689695011334784,-79.32362943410871,Pizza Place,0,Null,0,0,2
East York,43.691800000000065,-79.32702999999998,Jump 6,5b08e15ead1789002cb52bb4,363,43.6892873,-79.3241525,Business Service,0,Null,0,0,0
York,43.692080000000026,-79.47862999999995,Variety And Video,4fc43c48e4b0d9d21ea6cdc7,356,43.69010467761434,-79.4751426938867,Convenience Store,1,Null,2,0,1
York,43.692080000000026,-79.47862999999995,Dollar Tree,55131562498ea1434fcfc6c1,375,43.690296200000006,-79.4746668,Discount Store,1,Null,0,0,0
York,43.692080000000026,-79.47862999999995,Timothy's World Coffee,4c1a5f378b3aa5934380955f,394,43.690071660398466,-79.47459889881466,Coffee Shop,0,Null,0,0,0
York,43.692080000000026,-79.47862999999995,El Nahual,5841b760e110955af030954d,415,43.690762899999996,-79.4737993,Restaurant,1,Null,3,0,0
York,43.692080000000026,-79.47862999999995,LD Hardwood Flooring,5b19480923a2e6002c50107d,490,43.6943442,-79.48385669999998,Construction & Landscaping,0,Null,3,0,0
York,43.692080000000026,-79.47862999999995,Z Bar & Grille,5000f2b3e4b0ae2f16d5dad7,497,43.690673007106504,-79.47276425326548,Bar,3,Null,0,0,0
East Toronto,43.659029919499254,-79.34900993060765,The Broadview Hotel,596186fd772fbc1671dff18b,82,43.659059899999995,-79.35003,Hotel,55,9.0,31,1,7
East Toronto,43.659029919499254,-79.34900993060765,White Lily Diner,58233f576a80ef616dbf88ab,170,43.65867460038718,-79.35107379221633,Diner,33,8.8,29,1,7
East Toronto,43.659029919499254,-79.34900993060765,Quad East,4dcbcbc47d8b84bcd55b7439,186,43.65868140211272,-79.35127335463245,Gym / Fitness Center,17,8.7,1,0,5
East Toronto,43.659029919499254,-79.34900993060765,Boxcar Social,55637f1c498ecfe4c5dd2322,188,43.659722741351565,-79.34687077721378,Café,91,8.7,75,1,28
East Toronto,43.659029919499254,-79.34900993060765,La Carnita,5500bd15498ec8482e5e635f,148,43.6596258037151,-79.34735987709429,Taco Place,65,8.5,44,1,17
East Toronto,43.659029919499254,-79.34900993060765,Tabule,519d414a498e6cc21f677ff4,228,43.659730965343634,-79.3463408134466,Middle Eastern Restaurant,100,8.7,74,1,29
East Toronto,43.659029919499254,-79.34900993060765,Chez Nous,594f2fa71f8ed6211a514876,182,43.65964,-79.3469,Wine Bar,7,8.3,3,0,1
East Toronto,43.659029919499254,-79.34900993060765,Rooftop At Broadview Hotel,59d40c3da9e40234d27cdc28,86,43.6591094703885,-79.35007412650944,Hotel Bar,21,8.3,22,0,4
East Toronto,43.659029919499254,-79.34900993060765,Ruby WatchCo.,4bc37b7c920eb713b4851d2c,18,43.659149101633645,-79.34916965901455,Restaurant,50,8.3,66,1,27
East Toronto,43.659029919499254,-79.34900993060765,I’ll Be Seeing You,5696fec5498eec0b3ffec7be,75,43.65924986154349,-79.34812146928077,Bar,11,8.3,7,0,1
East Toronto,43.659029919499254,-79.34900993060765,The Comrade,4aeb98fff964a520a6c321e3,93,43.659346498177754,-79.34793199050331,Bar,55,8.3,42,1,42
East Toronto,43.659029919499254,-79.34900993060765,Eastbound Brewing Company,5809380538fa964fcc2f75e6,99,43.659007801228846,-79.35024989233756,Brewery,20,8.2,63,0,6
East Toronto,43.659029919499254,-79.34900993060765,Royal Canadian Curling Club,4af5b6a9f964a520c7fb21e3,115,43.659989336760226,-79.34955038817158,Curling Ice,21,8.1,22,0,5
