Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue ID,Distance,Venue Latitude,Venue Longitude,Venue Category
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Dattilo's,4b6eccb8f964a52019cb2ce3,92,40.05990391263666,-75.05248450980542,Deli / Bodega
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Lipkin's Bakery,4c62bfd3ec94a5934cf829ca,433,40.062080588047905,-75.055465062238,Bakery
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Wawa,5968c580a6031c5daacb4104,484,40.05543828903908,-75.04912928404458,Convenience Store
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Rite Aid,4d3607163612a0935e617b5d,476,40.0615527,-75.0567739,Pharmacy
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Aldi's,564ddd2c498e1f41e51b4b6d,470,40.055288694240225,-75.04982560873032,Grocery Store
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Ritz Diner,5adccf518c35dc7eae9de327,487,40.057252373281216,-75.047001985102,Diner
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Tuscany Ristorante,4b6cb09bf964a520724c2ce3,443,40.05704824111185,-75.04773279189685,Italian Restaurant
Upper North Philadelphia,40.05911000000003,-75.05217999999996,The Rhawnhurst,4b8b040ff964a5207e8e32e3,470,40.062057215496736,-75.0561364521356,Bar
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Nicole Dominican Beauty Salon 2,55da23ea498e74d413e75f5f,29,40.059279,-75.052444,Health & Beauty Service
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Flames House,4d561a6ab4deb1f7f6000d7a,54,40.05873749492721,-75.05259680674189,Brazilian Restaurant
Upper North Philadelphia,40.05911000000003,-75.05217999999996,New Garden,505ba972e4b0c8fbe4e979d9,114,40.06009292602539,-75.05177307128906,Chinese Restaurant
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Windows & Doors Unlimited,5980e16ab2958f4d88321d0f,33,40.05933,-75.05245,Construction & Landscaping
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Yum Yum Cafe and Catering,4f323b3419836c91c7c31a6d,162,40.060558,-75.05191,Food
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Burholme Driving Range,4e309de014954cb0e5f20b87,196,40.06083553398806,-75.05264715160143,Golf Course
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Bustleton Avenue & Rhawn Street,4c98c71d671db60c202bbcf6,49,40.059536274017404,-75.05202300846577,Intersection
Upper North Philadelphia,40.05911000000003,-75.05217999999996,"Ruch & Shipon, P.C.",5d0bcef752372f002946fd1d,48,40.05953,-75.05231,Lawyer
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Bralow’s Fresh Fish & Seafood,5a9bef534a7aae191f727671,110,40.060094,-75.052028,Seafood Restaurant
Upper North Philadelphia,40.05911000000003,-75.05217999999996,Philip Yun - State Farm Insurance Agent,5c1b2033a30619002cb81721,36,40.059385,-75.052419,Insurance Office
